alignment_id,work_id,source_edition_id,translation_source_id,segment_ref,alignment_level,source_start_ref,source_end_ref,source_line_count,source_editorially_deleted_line_count,source_prepared_sha256,target_book_path,target_book_text_sha256,target_token_count,translation_prepared_sha256,source_rights_status,translation_rights_status,source_editorial_status,translation_machine_human_status,alignment_status,paper_facing_eligible,analysis_status
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,book,1.1,1.611,611,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,5835,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,book,2.1,2.877,877,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,2f7fb0e81e50eef395fdc7b6c746fe7a40cf5989b31c937a44d5d1059a8e3832,7945,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-03,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,3,book,3.1,3.461,461,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,d2133716485f3a24055bdc3482b687a99620bc3348aac7effc6ac6cf9f488105,4040,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-04,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,4,book,4.1,4.544,544,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,778ed0dc7ad4c42be481c403eb09f24510f42ab75b1b34853590271269f98bcc,5048,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,book,5.1,5.909,909,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,8590,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-06,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,6,book,6.1,6.529,529,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,235e474fdba3bf22e4759101dda3b4e7c91ce66437da5e71be0586a4838806cc,4984,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-07,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,7,book,7.1,7.482,482,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,6f1cd141b84fb74b27128fbbc40c26d734573d0cffd932967e5a8c96889040f2,4400,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-08,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,8,book,8.1,8.565,565,4,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,0c3d67a9144b42f9a1004c0b7bd0a637643889bc23c1db90638c8b9116ca6f18,5289,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-09,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,9,book,9.1,9.713,709,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,c2829e2f31f970e40705210e3467b21ad5ec4c0ea74ca102867cc1f6f48e5f3c,6895,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-10,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,10,book,10.1,10.579,579,0,8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,0f2da486da0120f0e7ef2534e98537a4f3efaf054f8e38e31fcb1405238e9a1f,5518,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,open_license,public_domain_us,human_edited_published,human_published,structurally_aligned,yes,book_length_only_finer_alignment_required_for_lexical_claims
